,Symbol,Name
268,402340,SK스퀘어
269,260870,SK시그넷
270,361610,SK아이이테크놀로지
271,100090,SK오션플랜트
272,03473K,SK우
273,096770,SK이노베이션
274,096775,SK이노베이션우
275,475150,SK이터닉스
276,001510,SK증권
277,001515,SK증권우
278,285130,SK케미칼
279,28513K,SK케미칼우
280,017670,SK텔레콤
281,000660,SK하이닉스
282,048550,SM C&C
283,063440,SM Life Design
284,003570,SNT다이내믹스
285,064960,SNT모티브
286,100840,SNT에너지
287,036530,SNT홀딩스
288,067160,SOOP
289,005610,SPC삼립
290,011810,STX
291,465770,STX그린로지스
292,077970,STX엔진
293,002820,SUN&L
294,289080,SV인베스트먼트
295,084870,TBH글로벌
296,002710,TCC스틸
297,089230,THE E&M
298,032540,TJ미디어
299,022220,TKG애강
300,069260,TKG휴켐스
301,007980,TP
302,048770,TPC
303,246690,TS인베스트먼트
304,317240,TS트릴리온
305,002900,TYM
306,024070,WISCOM
307,057030,YBM넷
308,037270,YG PLUS
309,040300,YTN
310,051390,YW
311,052220,iMBC
312,079940,가비아
313,078890,가온그룹
314,000500,가온전선
315,399720,가온칩스
316,296520,가이아코퍼레이션
317,036620,감성코퍼레이션
318,000860,강남제비스코
319,198440,강동씨앤엘
320,217730,강스템바이오텍
321,035250,강원랜드
322,114190,강원에너지
323,094480,갤럭시아머니트리
324,011420,갤럭시아에스엠
325,039240,경남스틸
326,053950,경남제약
327,002100,경농
328,009450,경동나비엔
329,267290,경동도시가스
330,012320,경동인베스트
331,011040,경동제약
332,000050,경방
333,214390,경보제약
334,012610,경인양행
335,009140,경인전자
336,024910,경창산업
337,013580,계룡건설
338,012200,계양전기
339,012205,계양전기우
340,002140,고려산업
341,049720,고려신용정보
342,010130,고려아연
343,002240,고려제강
344,014570,고려제약
345,348150,고바이오랩
346,950190,고스트스튜디오
347,098460,고영
348,035290,골드앤에스
349,900280,골든센츄리
350,215000,골프존
351,121440,골프존뉴딘홀딩스
352,366030,공구우먼
353,076340,관악산업
354,009290,광동제약
355,086220,광동헬스바이오
356,014200,광림
357,017040,광명전기
358,029480,광무
359,017900,광전자
360,037710,광주신세계
361,026910,광진실업
362,421800,교보12호스팩
363,440790,교보13호스팩
364,456490,교보14호스팩
365,465320,교보15호스팩
366,482520,교보16호스팩
367,030610,교보증권
368,339770,교촌에프앤비
369,053270,구영테크
370,007690,국도화학
371,005320,국동
372,001140,국보
373,066620,국보디자인
374,043650,국순당
375,006050,국영지앤엠
376,060480,국일신동
377,078130,국일제지
378,307750,국전약품
379,002720,국제약품
380,243870,굿센
381,035080,그래디언트
382,453450,그리드위즈
383,204020,그리티
384,402490,그린리소스
385,114450,그린생명과학
386,083420,그린케미칼
387,186230,그린플러스
388,014530,극동유화
389,900070,글로벌에스엠
390,204620,글로벌텍스프리
391,019660,글로본
392,014280,금강공업
393,014285,금강공업우
394,053260,금강철강
395,008870,금비
396,001570,금양
397,282720,금양그린파워
398,002990,금호건설
399,002995,금호건설우
400,011780,금호석유
401,011785,금호석유우
402,214330,금호에이치티
403,001210,금호전기
404,073240,금호타이어
405,036190,금화피에스시
406,049080,기가레인
407,420770,기가비스
408,035460,기산텔레콤
409,092440,기신정기
410,000270,기아
411,024110,기업은행
412,456700,길교이앤씨
413,013700,까뮤이앤씨
414,308100,까스텔바작
415,004540,깨끗한나라
416,004545,깨끗한나라우
417,407400,꿈비
418,187790,나노
419,286750,나노브릭
420,121600,나노신소재
421,247660,나노씨엠에스
422,039860,나노엔텍
423,091970,나노캠텍
424,417010,나노팀
425,244880,나눔테크
426,405920,나라셀라
427,288490,나라소프트
428,051490,나라엠앤디
429,137080,나래나노텍
430,190510,나무가
431,242040,나무기술
432,089600,나스미디어
433,293580,나우IB
434,257990,나우코스
435,138610,나이벡
436,130580,나이스디앤비
437,036800,나이스정보통신
438,267320,나인테크
439,001260,남광토건
440,008350,남선알미늄
441,008355,남선알미우
442,004270,남성
443,003920,남양유업
444,003925,남양유업우
445,025860,남해화학
446,111710,남화산업
447,091590,남화토건
448,168330,내츄럴엔도텍
449,094860,네오리진
450,253590,네오셈
451,212560,네오오토
452,095660,네오위즈
453,042420,네오위즈홀딩스
454,950220,네오이뮨텍
455,311390,네오크레마
456,085910,네오티스
457,092730,네오팜
458,290660,네오펙트
459,306620,네온테크
460,153460,네이블
461,007390,네이처셀
462,033640,네패스
463,330860,네패스아크
464,005720,넥센
465,005725,넥센우
466,002350,넥센타이어
467,002355,넥센타이어1우B
468,089140,넥스턴바이오
469,389650,넥스트바이오메디컬
470,137940,넥스트아이
471,396270,넥스트칩
472,348210,넥스틴
473,092790,넥스틸
474,225570,넥슨게임즈
475,217270,넵튠
476,251270,넷마블
477,317860,노드메이슨
478,104620,노랑풍선
479,090350,노루페인트
480,090355,노루페인트우
481,000320,노루홀딩스
482,000325,노루홀딩스우
483,194700,노바렉스
484,285490,노바텍
485,283100,노보믹스
486,145170,노브랜드
487,229500,노브메타파마
488,106520,노블엠앤비
489,376930,노을
490,006280,녹십자
491,142280,녹십자엠에스
492,234690,녹십자웰빙
493,005250,녹십자홀딩스
494,005257,녹십자홀딩스2우
495,004370,농심
496,072710,농심홀딩스
497,054050,농우바이오
498,069140,누리플랜
499,040160,누리플렉스
500,332290,누보
501,348340,뉴로메카
502,060260,뉴보텍
503,123840,뉴온
504,012340,뉴인텍
505,214870,뉴지랩파마
506,270870,뉴트리
507,144960,뉴파워프라즈마
508,085670,뉴프렉스
509,064260,다날
510,340360,다보링크
511,039560,다산네트웍스
512,154040,다산솔루에타
513,058730,다스코
514,030210,다올투자증권
515,023590,다우기술
516,032190,다우데이타
517,323350,다원넥스뷰
518,068240,다원시스
519,145210,다이나믹디자인
520,019680,대교
521,019685,대교우B
522,006370,대구백화점
523,008060,대덕
524,00806K,대덕1우
525,353200,대덕전자
526,35320K,대덕전자1우
527,000490,대동
528,178600,대동고려삼
529,020400,대동금속
530,008830,대동기어
531,048470,대동스틸
532,008110,대동전자
533,004780,대륙제관
534,005750,대림B&Co
535,017650,대림제지
536,006570,대림통상
537,007720,대명소노시즌
538,389260,대명에너지
539,317850,대모
